iter	Passed	Remaining
0	8	8447
1	17	8624
2	23	7670
3	68	17176
4	81	16246
5	96	15929
6	103	14620
7	106	13250
8	111	12331
9	115	11412
10	118	10634
11	121	10007
12	125	9522
13	131	9231
14	133	8798
15	136	8405
16	139	8084
17	152	8305
18	155	8008
19	161	7930
20	167	7813
21	178	7932
22	184	7839
23	197	8020
24	204	7959
25	232	8702
26	241	8707
27	248	8622
28	259	8677
29	263	8510
30	265	8312
31	295	8925
32	305	8949
33	343	9768
34	346	9558
35	360	9647
36	370	9641
37	381	9661
38	388	9569
39	395	9482
40	405	9486
41	412	9420
42	427	9521
43	434	9449
44	445	9453
45	459	9526
46	468	9491
47	472	9372
48	475	9231
49	478	9090
50	488	9081
51	493	8992
52	505	9024
53	510	8949
54	525	9027
55	548	9245
56	556	9209
57	571	9274
58	575	9180
59	603	9453
60	607	9344
61	654	9905
62	708	10534
63	723	10580
64	740	10656
65	756	10704
66	769	10720
67	788	10806
68	807	10890
69	831	11053
70	852	11158
71	855	11030
72	863	10967
73	868	10868
74	872	10756
75	884	10749
76	887	10642
77	897	10609
78	902	10521
79	908	10446
80	918	10420
81	932	10439
82	943	10426
83	975	10640
84	981	10566
85	985	10468
86	990	10392
87	993	10298
88	997	10206
89	1000	10118
90	1004	10037
91	1008	9955
92	1011	9865
93	1014	9778
94	1017	9691
95	1020	9610
96	1024	9539
97	1028	9469
98	1031	9389
99	1034	9311
100	1040	9265
101	1046	9216
102	1049	9140
103	1055	9091
104	1060	9039
105	1063	8967
106	1066	8904
107	1073	8862
108	1077	8810
109	1084	8776
110	1093	8757
111	1096	8691
112	1107	8690
113	1119	8701
114	1138	8763
115	1142	8703
116	1146	8648
117	1153	8621
118	1158	8578
119	1167	8562
120	1173	8522
121	1177	8476
122	1185	8452
123	1189	8403
124	1193	8353
125	1199	8318
126	1204	8279
127	1207	8229
128	1215	8203
129	1218	8155
130	1222	8110
131	1229	8084
132	1233	8038
133	1236	7989
134	1239	7943
135	1244	7909
136	1247	7861
137	1250	7811
138	1253	7767
139	1258	7732
140	1262	7692
141	1265	7645
142	1268	7599
143	1271	7557
144	1282	7564
145	1285	7520
146	1291	7496
147	1297	7468
148	1301	7433
149	1308	7413
150	1313	7386
151	1324	7389
152	1328	7353
153	1331	7312
154	1333	7271
155	1339	7247
156	1343	7216
157	1346	7176
158	1349	7137
159	1376	7229
160	1383	7211
161	1391	7195
162	1398	7183
163	1416	7219
164	1427	7224
165	1430	7187
166	1433	7150
167	1440	7133
168	1443	7096
169	1446	7062
170	1449	7026
171	1454	7000
172	1457	6967
173	1460	6933
174	1463	6899
175	1469	6882
176	1473	6850
177	1478	6829
178	1486	6816
179	1489	6783
180	1491	6750
181	1494	6718
182	1500	6697
183	1505	6675
184	1510	6652
185	1514	6626
186	1521	6613
187	1524	6586
188	1527	6555
189	1536	6550
190	1544	6539
191	1555	6545
192	1565	6547
193	1569	6522
194	1573	6495
195	1582	6492
196	1592	6489
197	1600	6483
198	1604	6457
199	1612	6448
200	1620	6440
201	1626	6425
202	1631	6406
203	1635	6382
204	1639	6357
205	1646	6345
206	1650	6322
207	1654	6299
208	1658	6277
209	1662	6254
210	1665	6226
211	1668	6203
212	1678	6201
213	1685	6190
214	1689	6167
215	1694	6149
216	1697	6123
217	1700	6100
218	1708	6092
219	1714	6079
220	1718	6055
221	1724	6043
222	1728	6021
223	1731	5998
224	1734	5975
225	1738	5955
226	1742	5933
227	1745	5910
228	1749	5891
229	1753	5870
230	1759	5855
231	1764	5842
232	1775	5844
233	1780	5827
234	1783	5807
235	1793	5804
236	1798	5791
237	1802	5771
238	1807	5753
239	1811	5737
240	1816	5719
241	1821	5706
242	1825	5686
243	1829	5669
244	1833	5649
245	1837	5633
246	1841	5612
247	1844	5592
248	1848	5574
249	1853	5559
250	1856	5540
251	1859	5520
252	1862	5499
253	1867	5485
254	1871	5467
255	1875	5450
256	1879	5433
257	1889	5433
258	1892	5413
259	1894	5393
260	1900	5380
261	1902	5359
262	1906	5341
263	1909	5323
264	1918	5321
265	1922	5303
266	1926	5290
267	1932	5279
268	1935	5259
269	1938	5240
270	1941	5221
271	1945	5207
272	1949	5190
273	1951	5171
274	1954	5152
275	1957	5134
276	1960	5118
277	1966	5106
278	1968	5087
279	1971	5069
280	1974	5052
281	1980	5042
282	1986	5033
283	1997	5036
284	2010	5044
285	2015	5031
286	2019	5017
287	2025	5008
288	2029	4991
289	2031	4974
290	2034	4958
291	2038	4943
292	2042	4928
293	2044	4910
294	2047	4892
295	2049	4874
296	2052	4858
297	2056	4844
298	2059	4828
299	2062	4811
300	2065	4797
301	2068	4779
302	2071	4764
303	2074	4748
304	2077	4733
305	2079	4717
306	2082	4700
307	2084	4683
308	2088	4670
309	2090	4654
310	2093	4637
311	2095	4621
312	2098	4605
313	2101	4591
314	2104	4575
315	2106	4560
316	2109	4544
317	2111	4528
318	2113	4512
319	2116	4498
320	2120	4484
321	2123	4470
322	2125	4454
323	2127	4439
324	2130	4424
325	2132	4409
326	2136	4397
327	2139	4382
328	2141	4367
329	2143	4352
330	2146	4338
331	2149	4324
332	2152	4311
333	2155	4297
334	2159	4287
335	2163	4276
336	2170	4270
337	2173	4257
338	2176	4243
339	2179	4231
340	2183	4219
341	2186	4205
342	2188	4191
343	2190	4177
344	2192	4163
345	2197	4153
346	2199	4139
347	2201	4125
348	2204	4111
349	2206	4097
350	2208	4084
351	2212	4073
352	2215	4060
353	2217	4046
354	2219	4033
355	2222	4020
356	2224	4007
357	2229	3997
358	2231	3984
359	2234	3971
360	2236	3958
361	2238	3945
362	2240	3932
363	2244	3921
364	2246	3908
365	2249	3896
366	2252	3884
367	2254	3872
368	2257	3860
369	2261	3850
370	2264	3839
371	2268	3829
372	2271	3817
373	2276	3810
374	2279	3799
375	2282	3787
376	2284	3775
377	2287	3763
378	2292	3755
379	2294	3744
380	2297	3732
381	2299	3720
382	2303	3711
383	2306	3699
384	2309	3688
385	2311	3676
386	2313	3664
387	2316	3653
388	2318	3641
389	2322	3632
390	2324	3621
391	2327	3609
392	2329	3598
393	2332	3587
394	2335	3576
395	2338	3566
396	2340	3555
397	2342	3543
398	2345	3532
399	2347	3521
400	2349	3510
401	2353	3500
402	2355	3489
403	2358	3478
404	2360	3468
405	2363	3457
406	2365	3446
407	2369	3438
408	2372	3427
409	2375	3418
410	2377	3407
411	2380	3397
412	2384	3389
413	2386	3378
414	2389	3368
415	2391	3357
416	2393	3346
417	2396	3336
418	2399	3327
419	2402	3317
420	2405	3307
421	2407	3297
422	2409	3287
423	2412	3276
424	2415	3268
425	2418	3258
426	2420	3248
427	2423	3238
428	2425	3228
