iter	RMSE
0	2031789.53
1	1971233.905
2	1922939.999
3	1868647.966
4	1817941.966
5	1774046.757
6	1726844.98
7	1685770.274
8	1646428.797
9	1606387.6
10	1573374.058
11	1535285.083
12	1501243.396
13	1470725.667
14	1440293.965
15	1409632.652
16	1376481.498
17	1347399.054
18	1325445.341
19	1297741.091
20	1269351.27
21	1245572.687
22	1219747.947
23	1194999.78
24	1173653.693
25	1153111.96
26	1133513.451
27	1115345.207
28	1099019.915
29	1077926.519
30	1058214.524
31	1043121.777
32	1029523.083
33	1012089.936
34	1000599.629
35	987533.6561
36	974533.8919
37	961423.6847
38	948691.1663
39	933369.8911
40	921200.8214
41	911912.0071
42	899078.5768
43	888346.5362
44	877543.438
45	867486.0918
46	859251.5573
47	851090.7083
48	842807.481
49	835262.7743
50	823517.1034
51	812066.4653
52	809050.4106
53	799128.9012
54	791804.0749
55	780395.5382
56	769528.3831
57	758977.2553
58	750498.7022
59	744705.8868
60	737350.4202
61	728746.3159
62	721710.3494
63	715448.3666
64	709005.9631
65	702382.4719
66	694514.5145
67	688928.4141
68	682232.7278
69	677009.8664
70	672888.9138
71	668156.5966
72	662868.3308
73	658592.0901
74	652632.9933
75	647207.1916
76	644025.1775
77	639856.672
78	635118.8183
79	632077.8609
80	626734.6656
81	624889.968
82	618907.1705
83	615339.0637
84	612786.9529
85	607160.102
86	604976.129
87	601027.9795
88	596534.0475
89	592065.1831
90	586657.0363
91	584656.668
92	582617.9519
93	578473.1557
94	574791.6507
95	568916.1735
96	563836.2906
97	559297.4998
98	556269.606
99	551801.9185
100	549024.6929
101	545475.0308
102	543291.1605
103	540116.2915
104	537771.0031
105	535233.6519
106	532473.5557
107	528674.2999
108	525551.2693
109	523639.9654
110	520903.4759
111	517442.6672
112	515419.6123
113	512216.2299
114	509851.0517
115	507898.324
116	505900.3492
117	504147.0493
118	503039.2181
119	500753.4925
120	497678.283
121	495490.7004
122	493818.4429
123	491556.6438
124	487872.104
125	486466.2178
126	484165.1429
127	482471.8268
128	480770.0958
129	478935.3879
130	477018.7505
131	474763.7315
132	472614.3925
133	471513.0082
134	468721.6113
135	465361.5306
136	463415.7058
137	461853.0273
138	458700.4419
139	457296.6697
140	454458.2063
141	452720.2384
142	449081.8332
143	448024.5256
144	444836.7609
145	443530.6686
146	441943.4311
147	440525.7993
148	437644.8911
149	436162.5638
150	435083.5975
151	433143.0625
152	431910.9411
153	430842.2478
154	428380.2689
155	426792.3292
156	424709.7892
157	423904.5204
158	423031.6148
159	421883.5183
160	420679.2554
161	419039.0477
162	417221.6569
163	415865.5178
164	414435.6824
165	412608.881
166	409955.3007
167	407575.094
168	405101.4131
169	404146.9941
170	402250.3123
171	400902.8795
172	400090.9525
173	398730.0171
174	397601.2611
175	395725.7538
176	395069.8286
177	393933.6996
178	392272.7903
179	391494.2521
180	389847.3305
181	387664.6177
182	385745.7226
183	384926.4159
184	383879.1575
185	381498.1271
186	380000.0135
187	378736.9647
188	377890.7548
189	377180.4889
190	375870.7343
191	375174.8423
192	373375.9882
193	371397.9326
194	370493.2284
195	368879.4934
196	366965.5288
197	366367.4747
198	363687.7624
199	361424.2997
200	360824.2171
201	359226.9025
202	357964.2812
203	356933.4967
204	355482.1498
205	354868.0829
206	354028.8525
207	351714.4525
208	349983.5884
209	348648.9579
210	347939.3216
211	346639.1438
212	345194.381
213	344332.416
214	342715.304
215	341402.3914
216	340828.1124
217	339577.8582
218	337747.9984
219	336593.3251
220	336145.5459
221	334688.7902
222	334212.8034
223	333067.9402
224	332462.1651
225	332062.1818
226	331472.6155
227	330138.9937
228	329576.0871
229	327668.1256
230	326368.8956
231	325282.3091
232	324017.6493
233	322836.3854
234	321208.7849
235	320099.3406
236	319214.3155
237	318202.2986
238	317139.5398
239	316278.888
240	314993.0275
241	314200.9635
242	313763.2889
243	313100.8769
244	312093.6666
245	311539.904
246	309994.5685
247	309525.5155
248	308427.9774
249	307470.6971
250	307133.9519
251	305812.7205
252	305027.2825
253	304510.6086
254	304110.4061
255	303182.1653
256	302903.4682
257	301742.6332
258	301368.9863
259	301090.3218
260	299874.3335
261	299495.3054
262	298893.9401
263	298376.2729
264	297546.849
265	297257.0753
266	296774.4931
267	296417.4748
268	296118.8864
269	295913.7132
270	295626.7321
271	294994.1209
272	293762.834
273	293428.4117
274	292685.9187
275	291470.7906
276	291232.2768
277	290284.4126
278	289671.2955
279	288413.201
280	287957.6414
281	286961.95
282	286530.3683
283	285632.7982
284	284981.6493
285	283975.3381
286	283087.1955
287	282159.312
288	281808.2559
289	280966.1373
290	279753.5161
291	278850.3805
292	277676.1608
293	277029.4148
294	276431.0215
295	275360.1405
296	274301.3293
297	273739.6916
298	272826.3537
299	272017.3738
300	271347.99
301	271121.611
302	270770.903
303	270064.2995
304	269543.2058
305	268531.2529
306	267699.8773
307	266989.0388
308	266356.4942
309	265490.1411
310	265211.4831
311	264125.9053
312	263407.3952
313	262450.55
314	261888.6379
315	261027.4233
316	260628.6849
317	260084.9076
318	259256.9441
319	259091.0747
320	258494.4033
321	257947.6349
322	257315.1533
323	257048.1854
324	256198.629
325	255908.3036
326	255116.1764
327	254861.6093
328	254459.552
329	253726.9043
330	253143.0813
331	252598.6477
332	251841.3714
333	251450.1268
334	250859.5938
335	250340.4121
336	249460.087
337	248863.962
338	247853.7536
339	247270.3758
340	246601.815
341	246105.1694
342	245270.2394
343	245217.024
344	244374.3849
345	243402.9113
346	242685.2396
347	241912.9459
348	241569.8897
349	241176.5231
350	240711.4516
351	240163.4488
352	239817.5811
353	239113.7509
354	238743.1439
355	238371.743
356	237581.2532
357	236691.9623
358	236069.5257
359	235424.0206
360	234870.0785
361	234808.0793
362	234492.2326
363	233787.2719
364	233421.153
365	232899.0644
366	232187.6269
367	231760.4954
368	231703.2939
369	230928.1785
370	230334.6457
371	229915.4002
372	229320.7263
373	228576.2203
374	228107.3312
375	227734.2011
376	227143.5055
377	226705.9819
378	226423.6467
379	226387.1676
380	225855.0222
381	225555.0559
382	225102.3652
383	224666.4423
384	224343.1754
385	224055.973
386	223618.3209
387	223353.7484
388	222633.7229
389	221894.5453
390	221342.7058
391	220639.6186
392	220226.3023
393	219876.6823
394	219259.6084
395	218694.8942
396	218185.1822
397	217683.7782
398	217098.7514
399	216551.6327
400	216247.2634
401	215627.5224
402	215068.7341
403	214419.0427
404	214006.0903
405	213335.6118
406	212840.5001
407	212381.3649
408	211800.624
409	211185.5394
410	210620.8163
411	210164.8642
412	209864.6525
413	209445.357
414	209034.0525
415	208499.7648
416	208081.9291
417	207654.5102
418	207232.7027
419	206724.6134
420	206248.1269
421	205882.1698
422	205279.3454
423	204901.5417
424	204585.101
425	204098.08
426	203720.2204
427	203424.5739
428	203217.1456
429	202773.606
430	202349.44
431	202004.1538
432	201444.481
433	201024.6336
434	200395.6419
435	199988.7872
436	199642.5886
437	199252.2761
438	198883.7122
439	198488.9988
440	198012.5326
441	197440.0669
442	196994.5695
443	196590.8671
444	196218.1973
445	195859.0212
446	195393.2337
447	195114.2983
448	194662.7734
449	194200.551
450	193841.3505
451	193432.19
452	193049.5157
453	192552.3651
454	192251.8433
455	191902.6443
456	191472.8818
457	191185.4912
458	190913.1461
459	190623.1507
460	190389.1086
461	189652.562
462	189351.3529
463	189022.9114
464	188633.4
465	188394.9985
466	187937.8576
467	187554.9343
468	187310.08
469	187089.4944
470	186802.0101
471	186563.1897
472	186225.5035
473	185898.9455
474	185561.8446
475	185249.9186
476	184931.2709
477	184890.0975
478	184613.9195
479	184364.3668
480	184111.7233
481	183870.768
482	183572.5164
483	183328.1301
484	182956.5184
485	182613.8449
486	182433.0191
487	181905.7435
488	181586.1904
489	181539.1569
490	181009.4757
491	180974.7033
492	180553.0663
493	180478.2869
494	180273.626
495	179932.5999
496	179611.5409
497	179383.3209
498	179135.1834
499	178878.4451
500	178830.5356
501	178501.1034
502	178060.7197
503	177668.0671
504	177253.6568
505	176773.4308
506	176625.5081
507	176390.9573
508	176238.253
509	175980.6751
510	175550.7884
511	175502.6159
512	175393.2476
513	175009.7923
514	174727.049
515	174360.3855
516	174238.1701
517	173865.6089
518	173609.1488
519	173139.901
520	172665.1407
521	172221.5103
522	171848.2004
523	171808.2479
524	171418.5127
525	171061.7662
526	170663.6983
527	170136.6063
528	169840.5098
529	169518.3221
530	169278.4097
531	169002.0046
532	168717.9718
533	168368.8134
534	167995.2136
535	167646.5477
536	167297.9784
537	167030.4461
538	166882.6113
539	166449.6336
540	166379.9719
541	166169.2715
542	165925.1011
543	165773.4255
544	165754.5414
545	165399.1441
546	165005.9534
547	164736.9262
548	164718.8437
549	164604.5564
550	164294.9858
551	164263.3807
552	164054.1821
553	163703.8113
554	163248.1236
555	162892.0634
556	162436.9525
557	162202.7101
558	162166.3471
559	162049.0708
560	161815.9466
561	161595.9125
562	161181.1644
563	160834.5195
564	160564.0463
565	160379.5526
566	160070.1922
567	160053.9004
568	159848.0636
569	159483.3552
570	159199.4505
571	158971.6009
572	158785.7807
573	158664.9332
574	158367.3223
575	158213.7803
576	158198.2184
577	157920.2351
578	157645.0519
579	157625.1241
580	157417.8188
581	157054.7557
582	156878.8414
583	156456.5721
584	156197.2518
585	155871.4042
586	155555.2783
587	155160.369
588	154971.2458
589	154637.1002
